epoch,lambda,noise,shots,acc,loss,n_samples
38,3,0.05,16,78.9074074074074,0.6990354836832035,5400
38,3,0.05,64,95.14814814814815,0.4355335709313755,5400
38,3,0.05,256,96.64814814814815,0.3793530456287841,5400
38,3,0.05,1024,96.70370370370371,0.36761345956516,5400
39,3,0.05,1,30.0,5.717485244914723,5400
39,3,0.05,4,49.03703703703704,1.7389627727733676,5400
39,3,0.05,16,78.88888888888889,0.7034997446973003,5400
39,3,0.05,64,94.11111111111111,0.44236951745755876,5400
39,3,0.05,256,96.2037037037037,0.38240122757637085,5400
39,3,0.05,1024,96.31481481481482,0.3703393524630936,5400
40,3,0.05,1,30.425925925925927,5.803816841706276,5400
40,3,0.05,4,48.01851851851852,1.79822764717816,5400
40,3,0.05,16,79.18518518518518,0.6745923852011403,5400
40,3,0.05,64,95.01851851851852,0.4020246338473532,5400
40,3,0.05,256,96.94444444444444,0.34183713709290975,5400
40,3,0.05,1024,96.92592592592592,0.3306250036855291,5400
41,3,0.05,1,30.425925925925927,5.869500623517391,5400
41,3,0.05,4,49.148148148148145,1.7911464521587914,5400
41,3,0.05,16,79.44444444444444,0.6480046658468023,5400
41,3,0.05,64,95.38888888888889,0.3766923914132599,5400
41,3,0.05,256,97.01851851851852,0.3200844204679553,5400
41,3,0.05,1024,97.01851851851852,0.30649911743747643,5400
42,3,0.05,1,29.61111111111111,6.168755794671822,5400
42,3,0.05,4,47.333333333333336,1.929927886143456,5400
42,3,0.05,16,78.57407407407408,0.6982423564117752,5400
42,3,0.05,64,93.05555555555556,0.43384307105467634,5400
42,3,0.05,256,94.88888888888889,0.3731809415787336,5400
42,3,0.05,1024,95.0,0.3556919666230662,5400
43,3,0.05,1,31.0,6.176311819548643,5400
43,3,0.05,4,49.48148148148148,1.8539521462701312,5400
43,3,0.05,16,79.66666666666666,0.6540250760954033,5400
43,3,0.05,64,95.05555555555556,0.36349353689705577,5400
43,3,0.05,256,96.61111111111111,0.3095479970426518,5400
43,3,0.05,1024,96.83333333333334,0.294446517083193,5400
44,3,0.05,1,31.833333333333336,6.08715068789538,5400
44,3,0.05,4,49.68518518518519,1.7924795594457794,5400
44,3,0.05,16,80.61111111111111,0.6358382533715052,5400
44,3,0.05,64,95.14814814814815,0.3509942569009689,5400
44,3,0.05,256,97.07407407407408,0.28860181870149754,5400
44,3,0.05,1024,97.14814814814815,0.2754909923160078,5400
45,3,0.05,1,31.037037037037035,6.364266371077531,5400
45,3,0.05,4,49.092592592592595,1.9066414542687016,5400
45,3,0.05,16,79.74074074074075,0.6566737812374297,5400
45,3,0.05,64,95.0925925925926,0.3723943358306292,5400
45,3,0.05,256,96.51851851851852,0.3101881085515144,5400
45,3,0.05,1024,96.48148148148148,0.2953059893221605,5400
46,3,0.05,1,30.907407407407405,6.540830808489579,5400
46,3,0.05,4,49.074074074074076,1.8728812579406897,5400
46,3,0.05,16,80.75925925925927,0.6239184163679131,5400
46,3,0.05,64,95.4074074074074,0.34327161612115686,5400
46,3,0.05,256,97.18518518518519,0.28134527428264705,5400
46,3,0.05,1024,97.22222222222221,0.26719366225550467,5400
47,3,0.05,1,30.11111111111111,6.85597802875952,5400
47,3,0.05,4,47.629629629629626,2.0409276646058756,5400
47,3,0.05,16,77.75925925925927,0.6791751948869796,5400
47,3,0.05,64,94.2037037037037,0.37388095486191153,5400
47,3,0.05,256,96.61111111111111,0.30575082823440786,5400
47,3,0.05,1024,96.70370370370371,0.29256043749894606,5400
48,3,0.05,1,31.296296296296294,6.667709202734736,5400
48,3,0.05,4,49.98148148148148,1.914195624371749,5400
48,3,0.05,16,80.16666666666666,0.6337822865409002,5400
48,3,0.05,64,94.96296296296296,0.3293804814265179,5400
48,3,0.05,256,96.55555555555554,0.26509520204336684,5400
48,3,0.05,1024,96.72222222222221,0.25221901731586654,5400
49,3,0.05,1,31.722222222222225,6.784496028616707,5400
49,3,0.05,4,48.25925925925926,2.0382714083379136,5400
49,3,0.05,16,80.5925925925926,0.6188965899408758,5400
49,3,0.05,64,94.81481481481482,0.34078881289714086,5400
49,3,0.05,256,96.24074074074073,0.27858203091997896,5400
49,3,0.05,1024,96.46296296296296,0.2621613944477201,5400
50,3,0.05,1,31.407407407407405,6.9610111262739975,5400
50,3,0.05,4,49.53703703703704,2.01687901949787,5400
50,3,0.05,16,80.14814814814815,0.615959894680587,5400
50,3,0.05,64,95.5,0.3071438497976401,5400
50,3,0.05,256,96.81481481481482,0.2455149325921586,5400
50,3,0.05,1024,96.87037037037037,0.23419097735361488,5400
