epoch,arm,lams,var_E,depth,reward,alpha,depth_metric,E_metric
35,arm2,"1,3,5",0.027745847849916468,5.0,-0.18774584784991646,0.01,max_lambda,trueprob
35,arm3,"1,3,5,7",0.026923697170020376,7.0,-0.38692369717002034,0.01,max_lambda,trueprob
36,arm1,"1,3",0.024739157700351736,3.0,-0.06473915770035174,0.01,max_lambda,trueprob
36,arm2,"1,3,5",0.02506503753977925,5.0,-0.18506503753977926,0.01,max_lambda,trueprob
36,arm3,"1,3,5,7",0.02438342745180034,7.0,-0.3843834274518003,0.01,max_lambda,trueprob
37,arm1,"1,3",0.027749656836732056,3.0,-0.06774965683673206,0.01,max_lambda,trueprob
37,arm2,"1,3,5",0.02808876338049788,5.0,-0.18808876338049788,0.01,max_lambda,trueprob
37,arm3,"1,3,5,7",0.02702115216891959,7.0,-0.3870211521689196,0.01,max_lambda,trueprob
38,arm1,"1,3",0.026670804059408026,3.0,-0.06667080405940803,0.01,max_lambda,trueprob
38,arm2,"1,3,5",0.02696916322250324,5.0,-0.18696916322250323,0.01,max_lambda,trueprob
38,arm3,"1,3,5,7",0.025886415944904272,7.0,-0.38588641594490425,0.01,max_lambda,trueprob
39,arm1,"1,3",0.02994578642655702,3.0,-0.06994578642655702,0.01,max_lambda,trueprob
39,arm2,"1,3,5",0.03023032014538787,5.0,-0.19023032014538788,0.01,max_lambda,trueprob
39,arm3,"1,3,5,7",0.028892071738361415,7.0,-0.3888920717383614,0.01,max_lambda,trueprob
40,arm1,"1,3",0.02527849295229454,3.0,-0.06527849295229454,0.01,max_lambda,trueprob
40,arm2,"1,3,5",0.025414132099285617,5.0,-0.18541413209928562,0.01,max_lambda,trueprob
40,arm3,"1,3,5,7",0.02448491368450752,7.0,-0.3844849136845075,0.01,max_lambda,trueprob
41,arm1,"1,3",0.02351007808813445,3.0,-0.06351007808813446,0.01,max_lambda,trueprob
41,arm2,"1,3,5",0.02360188159313368,5.0,-0.18360188159313368,0.01,max_lambda,trueprob
41,arm3,"1,3,5,7",0.02285251609389951,7.0,-0.3828525160938995,0.01,max_lambda,trueprob
42,arm1,"1,3",0.04118145598759447,3.0,-0.08118145598759446,0.01,max_lambda,trueprob
42,arm2,"1,3,5",0.04164221177891171,5.0,-0.20164221177891173,0.01,max_lambda,trueprob
42,arm3,"1,3,5,7",0.04026828985864528,7.0,-0.40026828985864527,0.01,max_lambda,trueprob
43,arm1,"1,3",0.026327298107987895,3.0,-0.0663272981079879,0.01,max_lambda,trueprob
43,arm2,"1,3,5",0.026516165744182293,5.0,-0.18651616574418228,0.01,max_lambda,trueprob
43,arm3,"1,3,5,7",0.025461975684285466,7.0,-0.3854619756842855,0.01,max_lambda,trueprob
44,arm1,"1,3",0.0238261337848863,3.0,-0.0638261337848863,0.01,max_lambda,trueprob
44,arm2,"1,3,5",0.023982124523639313,5.0,-0.18398212452363932,0.01,max_lambda,trueprob
44,arm3,"1,3,5,7",0.0231458469256426,7.0,-0.3831458469256426,0.01,max_lambda,trueprob
45,arm1,"1,3",0.02928902474482656,3.0,-0.06928902474482657,0.01,max_lambda,trueprob
45,arm2,"1,3,5",0.029566497388993057,5.0,-0.18956649738899306,0.01,max_lambda,trueprob
45,arm3,"1,3,5,7",0.028580944679162473,7.0,-0.3885809446791625,0.01,max_lambda,trueprob
46,arm1,"1,3",0.023183842877778037,3.0,-0.06318384287777803,0.01,max_lambda,trueprob
46,arm2,"1,3,5",0.023322327034412515,5.0,-0.1833223270344125,0.01,max_lambda,trueprob
46,arm3,"1,3,5,7",0.02269862421487331,7.0,-0.3826986242148733,0.01,max_lambda,trueprob
